"project_size","development_staff_size","sufficient_development_staff","overall_staff_size","sufficient_overall_staff","staff_experience","staff_qualified","project_manager","experienced_project_manager","reuse_assets_introduced","reuse_asset_qualification","top_management_support","domain_analysis","risks_identification","risk_management","project_magement_methodologies","communication","repository","time_line_monitoring","performance_monitoring","budget_monitoring","risk_monitoring","change_monitoring","quality_monitoring","resource_monitoring","sufficient_budget_allocation","human_factors","successful"
"Medium (10 – 100 person months)","Small (1-50)","Yes","Small (1-50)","Yes","Middle (2 - 5 years)","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","Yes","No","Yes","No","","","Yes","Yes","No","Yes"
"Extra Large (above 500 person months)","Small (1-50)","Yes","Small (1-50)","Yes","High (above 5 years)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Medium (10 – 100 person months)","Small (1-50)","Yes","Medium (51-200)","Yes","Middle (2 - 5 years)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Medium (10 – 100 person months)","Small (1-50)","No","Small (1-50)","Yes","Middle (2 - 5 years)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Medium (10 – 100 person months)","Small (1-50)","Yes","Small (1-50)","Yes","Middle (2 - 5 years)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Small (below 10 person months)","Small (1-50)","Yes","Small (1-50)","Yes","Middle (2 - 5 years)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Small (below 10 person months)","Small (1-50)","Yes","Small (1-50)","No","Low (1 or less than a year)","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No"
"Medium (10 – 100 person months)","Medium (51-200)","Yes","Small (1-50)","Yes","Middle (2 - 5 years)","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","No"
"Medium (10 – 100 person months)","Small (1-50)","Yes","Small (1-50)","Yes","Middle (2 - 5 years)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Medium (10 – 100 person months)","Small (1-50)","Yes","Small (1-50)","Yes","Low (1 or less than a year)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Medium (10 – 100 person months)","Small (1-50)","Yes","Small (1-50)","Yes","High (above 5 years)","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Medium (10 – 100 person months)","Large (above 200)","No","Small (1-50)","No","Middle (2 - 5 years)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Medium (10 – 100 person months)","Small (1-50)","Yes","Small (1-50)","Yes","Middle (2 - 5 years)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Medium (10 – 100 person months)","Small (1-50)","Yes","Medium (51-200)","Yes","Middle (2 - 5 years)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Medium (10 – 100 person months)","Medium (51-200)","Yes","Medium (51-200)","Yes","Middle (2 - 5 years)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Medium (10 – 100 person months)","Small (1-50)","Yes","Small (1-50)","Yes","Middle (2 - 5 years)","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No"
"Small (below 10 person months)","Small (1-50)","No","Small (1-50)","No","Middle (2 - 5 years)","Yes","Yes","No","No","No","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No","Yes","Yes","No"
"Extra Large (above 500 person months)","Small (1-50)","Yes","Small (1-50)","Yes","Middle (2 - 5 years)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
